sugar,butter,egg,flour,milk,raising-agent,water,salt,syrup,label
420,225,156,470,0,12,0,6,0,biscuit
50,75,0,175,0,7.5,0,1,51,biscuit
205,55,104,300,0,6,0,1.5,0,biscuit
150,55,187,390,0,6,0,0,0,biscuit
140,140,0,250,17,6,0,0,6,biscuit
90,120,31,200,0,0,0,0,0,biscuit
350,175,104,460,125,4.5,0,0,0,biscuit
220,125,0,125,0,0,0,0,0,biscuit
125,125,0,250,0,24,0,3,68,biscuit
200,0,156,200,0,3,0,0,0,biscuit
65,225,156,220,0,0,0,3,0,biscuit
305,110,104,450,0,6,0,6,0,biscuit
284,0,104,250,0,4.5,51,0,0,biscuit
150,225,52,325,125,1.5,0,0.75,0,biscuit
110,110,0,140,0,6,0,3,34,biscuit
125,175,52,150,0,3,0,0,0,biscuit
675,225,104,375,0,0,0,0,0,biscuit
50,100,0,100,0,6,0,0,0,biscuit
150,150,0,300,17,0,0,0,17,biscuit
175,125,52,285,0,0,0,3,175,biscuit
100,100,0,350,0,0,0,0,0,biscuit
200,150,104,310,0,13.5,0,3,0,biscuit
100,100,0,200,0,0,0,0,17,biscuit
150,225,22,275,0,0,0,0,0,biscuit
225,315,52,575,0,6,0,3,0,biscuit
125,100,104,200,0,12,0,0,0,biscuit
115,100,52,250,0,0,0,0,0,biscuit
125,250,104,375,0,0,0,1,0,biscuit
200,225,44,250,0,0,0,0,0,biscuit
200,175,52,275,0,12,0,3,0,biscuit
220,225,104,530,0,6,0,3,0,biscuit
400,200,208,250,0,0,0,0,0,biscuit
75,320,0,420,0,0,0,3,0,biscuit
180,225,104,350,0,0,0,0,0,biscuit
300,250,52,450,0,12,0,0,17,biscuit
68,225,0,250,0,12,0,0.75,0,biscuit
50,100,0,100,0,0,0,0,0,biscuit
200,150,0,250,0,0,0,0,75,biscuit
175,175,52,375,75,3,0,0,0,biscuit
100,250,0,175,150,0,0,0,34,biscuit
300,225,104,470,0,6,0,3,0,biscuit
150,160,104,315,0,4.5,0,3,0,biscuit
205,225,53,250,0,0,0,0,0,biscuit
100,112,0,340,0,6,0,0,190,biscuit
225,100,52,225,0,6,0,3,85,biscuit
85,170,0,170,0,0,0,1,0,biscuit
400,240,0,375,143,24,0,0,0,biscuit
400,170,104,475,125,6,68,0,0,biscuit
180,275,52,445,0,6,0,6,0,biscuit
150,175,52,350,60,0,0,0,0,biscuit
225,110,52,125,0,3,0,1.5,0,biscuit
400,110,104,470,0,6,0,1.5,0,biscuit
67,50,52,250,34,0,0,0,0,biscuit
100,100,104,225,0,0,0,0,0,biscuit
500,225,52,300,0,3,0,3,0,biscuit
210,271,52,250,0,0,6,1.5,0,biscuit
100,100,0,150,0,0,0,0,17,biscuit
150,225,66,525,0,15,0,0,0,biscuit
68,115,52,193,597,3,0,0,0,biscuit
150,120,66,220,0,0,0,0,0,biscuit
55,110,0,175,0,0,42.5,0,0,biscuit
300,175,52,250,0,12,0,0,34,biscuit
350,100,52,225,0,3,0,0,0,biscuit
320,225,104,280,0,6,0,3,0,biscuit
132,125,52,250,0,6,0,0,0,biscuit
200,225,22,280,0,0,0,0,0,biscuit
200,125,52,150,0,3,0,1.5,0,biscuit
150,150,104,400,0,6,0,0,0,biscuit
210,225,104,310,240,6,0,6,0,biscuit
165,120,104,275,0,3,0,1.5,0,biscuit
205,85,0,120,0,1.5,0,0.75,0,biscuit
325,175,104,370,34,12,0,6,0,biscuit
130,125,156,150,0,8,0,1,34,biscuit
155,250,104,310,0,0,0,0,0,biscuit
220,125,52,60,0,6,0,0,34,biscuit
225,250,208,690,0,18,0,3,0,biscuit
75,150,0,100,0,0,0,0,0,biscuit
275,110,104,310,0,24,0,0,0,biscuit
300,123.5,52,230,8.5,6,0,1.5,0,biscuit
125,250,0,200,0,0,0,0,0,biscuit
200,225,52,250,0,12,0,6,0,biscuit
68,0,31,68,0,0,0,1,0,biscuit
85,150,0,230,0,0,0,0,0,biscuit
420,225,104,450,34,12,0,6,0,biscuit
280,100,230,500,0,6,0,1,0,biscuit
330,225,104,280,0,3,0,0,0,biscuit
245,305,0,430,0,0,0,0,0,biscuit
180,60,156,400,0,16,0,1,0,biscuit
125,100,104,200,0,12,0,0,0,biscuit
180,225,52,310,0,6,0,0,0,biscuit
60,110,0,170,0,0,0,0,0,biscuit
330,500,0,660,700,0,0,0,300,biscuit
200,225,0,334,0,23,0,0,0,biscuit
110,110,0,110,0,0,0,0,17,biscuit
300,225,104,375,0,6,0,6,0,biscuit
68,92,0,150,0,0,34,1.5,0,biscuit
220,225,0,265,0,0,0,0,0,biscuit
425,225,104,750,0,12,0,3,0,biscuit
137,250,148,400,0,0,0,0,0,biscuit
320,225,104,290,0,6,0,1.5,0,biscuit
225,125,52,225,0,0,0,0,0,biscuit
302,250,22,250,0,6,0,0,0,biscuit
75,75,0,150,17,0,0,0,17,biscuit
400,465,104,340,200,15,0,3,0,biscuit
420,225,104,475,0,24,0,6,0,biscuit
200,450,0,250,0,12,0,1.5,0,biscuit
60,0,32,100,0,0,0,0,0,biscuit
250,250,104,650,100,0,0,0,0,biscuit
150,150,83,300,0,0,0,0,0,biscuit
85,125,0,215,0,1.5,0,1,0,biscuit
265,225,0,205,0,4.5,0,1.5,0,biscuit
190,210,104,570,0,6,60,6,0,biscuit
598,225,104,500,85,12,0,0,0,biscuit
400,225,104,340,0,6,0,3,0,biscuit
300,300,0,300,0,0,0,0,0,biscuit
320,170,104,375,0,7.5,0,7.5,34,biscuit
320,225,104,405,0,3,0,6,0,biscuit
140,225,22,225,170,0,0,1.5,0,biscuit
400,250,52,275,0,6,0,1,0,biscuit
150,162,0,285,0,6,0,0,34,biscuit
250,185,52,185,0,7.5,0,0.75,0,biscuit
200,75,104,200,0,0,0,0.75,0,biscuit
343,175,104,250,0,12,0,6,0,biscuit
85,115,52,225,0,3,0,0,0,biscuit
189,165,52,170,100,3,51,0,0,biscuit
125,125,52,150,0,6,0,3,0,biscuit
495,240,104,360,0,6,0,6,0,biscuit
125,150,52,250,0,0,0,0,0,biscuit
420,225,104,390,0,12,0,1,0,biscuit
85,55,22,150,0,0,0,0.75,0,biscuit
